material;id_tienda;stock_restaurado
000000000000005779;3180;45
000000000000006107;3206;669
000000000000566344;3172;257
000000000000035246;3211;173
000000000000287807;3180;26
000000000000645433;3088;104
000000000000883202;3225;28
000000000000358336;3098;2173
000000000000668141;3089;73
000000000000018287;3225;63
000000000000179987;3172;22
000000000000560445;3223;152
000000000000216012;3085;63
000000000400183001;3086;102
000000000000638518;3187;31
000000000000010216;3212;24
000000000000646822;3206;374
000000000000182568;3193;108
000000000000606625;3187;116
000000000000516543;3098;200
000000000000623594;3206;123
000000000000631254;3206;59
000000000000613365;3092;103
000000000402032001;3211;35
000000000000712974;3172;3893
000000000000196224;3098;53
000000000000567413;3225;19
000000000000900818;3086;656
000000000400329010;3225;419
000000000665656002;3088;22
000000000000176788;3180;77
000000000000900818;3212;3548
000000000000826649;3098;52
000000000000667610;3193;16
000000000000933456;3089;25
000000000000178386;3093;107
000000000665091001;3223;22
000000000000052107;3193;325
000000000000937354;3089;17
000000000000215841;3091;866
000000000000641384;3225;59
000000000000629761;3172;282
000000000634844003;3085;82
000000000000215264;3085;14
000000000665771003;3094;14
000000000000172738;3085;91
000000000000141302;3088;163
000000000000015532;3091;91
000000000000005861;3206;28
000000000000188148;3187;198
000000000000128218;3089;127
000000000400067006;3180;314
000000000000752668;3225;67
000000000000566342;3098;139
000000000000010632;3225;29
000000000000005964;3172;1360
000000000000031357;3098;46
000000000000146509;3091;810
000000000000182334;3180;39
000000000402613001;3223;1858
000000000000615396;3085;44
000000000000900816;3085;310
000000000000210189;3086;199
000000000000190995;3098;42
000000000000005759;3172;47
000000000000900825;3085;33
000000000000637755;3187;32
000000000402163006;3086;19
000000000000668141;3172;218
000000000000863277;3093;24
000000000000662257;3211;347
000000000000052651;3086;146
000000000000560511;3172;135
000000000000810437;3180;105
000000000000621035;3093;136
000000000000510814;3206;12
000000000000631669;3212;54
000000000000180018;3172;32
000000000000566342;3206;151
000000000000218074;3180;216
000000000000018292;3089;414
000000000000189537;3092;153
000000000000053901;3094;1619
000000000000650419;3093;141
000000000000134121;3092;23
000000000000214186;3093;79
000000000000248328;3098;125
000000000000342157;3180;27
000000000000291227;3093;185
000000000000004900;3172;190
000000000000046528;3074;434
000000000000941355;3094;1256
000000000000598872;3086;338
000000000000616202;3193;69
000000000000544823;3172;21
000000000000810438;3089;61
000000000000035129;3206;286
000000000000120789;3225;17
000000000000172456;3094;36
000000000000634994;3093;97
000000000000004909;3225;39
000000000000662257;3187;53
000000000000646834;3187;517
000000000000520482;3212;201
000000000400308003;3211;182
000000000000565609;3193;59
000000000000900817;3092;31905
000000000000005959;3211;533
000000000000900821;3187;1592
000000000000006459;3091;83
000000000000168906;3187;18
000000000000637670;3089;115
000000000000609808;3093;40
000000000000712974;3225;1222
000000000402163002;3088;77
000000000000052387;3088;337
000000000000629295;3086;67
000000000000145903;3092;359
000000000000213396;3098;23
000000000000543393;3085;14
000000000000185007;3180;42
000000000634901001;3074;182
000000000000665274;3098;15
000000000622768006;3093;172
000000000654770002;3093;28
000000000000606428;3098;36
000000000400308002;3091;2092
000000000648870003;3211;36
000000000400329003;3085;915
000000000000604342;3088;62
000000000000007504;3093;341
000000000400069002;3094;729
000000000000216960;3211;34
000000000000631668;3223;12
000000000000130196;3093;263
000000000401862004;3172;110
000000000000170847;3091;193
000000000000141302;3092;148
000000000000520482;3086;111
000000000000991225;3086;71
000000000000632241;3098;98
000000000000632286;3094;40
000000000000632934;3091;23
000000000000355005;3225;43
000000000000666915;3086;91
000000000000052107;3086;240
000000000000641384;3089;51
000000000000941356;3180;225
000000000000006126;3086;1783
000000000000661975;3089;28
000000000402053001;3091;32
000000000000872676;3074;290
000000000000215380;3172;874
000000000000215974;3098;113
000000000000179743;3091;27
000000000000661119;3180;1918
000000000000607260;3092;44
000000000000179983;3206;29
000000000000648040;3089;30
000000000000544759;3074;7
000000000000560915;3172;33
000000000624310002;3172;13
000000000000668903;3212;151
000000000000618228;3092;75
000000000000198491;3086;897
000000000000156561;3091;173
000000000000561242;3089;14
000000000000203300;3225;17
000000000000179977;3206;160
000000000000815275;3089;72
000000000000666102;3085;146
